State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AR,71601,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,4
AR,71602,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,2
AR,71603,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,1
AR,71611,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,1
AR,71612,"WHITE HALL",0.065000,0.091250,0.016250,0.010000,0,2
AR,71613,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,1
AR,71630,"DESHA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71631,"BRADLEY COUNTY",0.065000,0.085000,0.020000,0,0,3
AR,71635,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,2
AR,71638,DERMOTT,0.065000,0.105000,0.020000,0.020000,0,1
AR,71639,DUMAS,0.065000,0.105000,0.015000,0.025000,0,1
AR,71640,EUDORA,0.065000,0.105000,0.020000,0.020000,0,1
AR,71642,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,2
AR,71643,GOULD,0.065000,0.105000,0.010000,0.030000,0,3
AR,71644,"JEFFERSON COUNTY",0.065000,0.081250,0.016250,0,0,3
AR,71646,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,9
AR,71647,"BRADLEY COUNTY",0.065000,0.085000,0.020000,0,0,8
AR,71651,"BRADLEY COUNTY",0.065000,0.085000,0.020000,0,0,2
AR,71652,"CLEVELAND COUNTY",0.065000,0.097500,0.032500,0,0,2
AR,71653,"LAKE VILLAGE",0.065000,0.105000,0.020000,0.020000,0,1
AR,71654,MCGEHEE,0.065000,0.110000,0.015000,0.030000,0,1
AR,71655,MONTICELLO,0.065000,0.097500,0.022500,0.010000,0,1
AR,71656,MONTICELLO,0.065000,0.097500,0.022500,0.010000,0,1
AR,71657,MONTICELLO,0.065000,0.097500,0.022500,0.010000,0,1
AR,71658,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,4
AR,71659,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,2
AR,71660,"CLEVELAND COUNTY",0.065000,0.097500,0.032500,0,0,3
AR,71661,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,2
AR,71662,"DESHA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71663,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71665,"CLEVELAND COUNTY",0.065000,0.097500,0.032500,0,0,11
AR,71666,MCGEHEE,0.065000,0.110000,0.015000,0.030000,0,1
AR,71667,"LINCOLN COUNTY",0.065000,0.075000,0.010000,0,0,8
AR,71670,"DESHA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71671,WARREN,0.065000,0.095000,0.020000,0.010000,0,5
AR,71674,"DESHA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71675,"DREW COUNTY",0.065000,0.087500,0.022500,0,0,1
AR,71676,"ASHLEY COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71677,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,1
AR,71678,"PINE BLUFF",0.065000,0.103750,0.016250,0.022500,0,1
AR,71701,CAMDEN,0.065000,0.112500,0.030000,0.017500,0,1
AR,71711,CAMDEN,0.065000,0.112500,0.030000,0.017500,0,1
AR,71720,"OUACHITA COUNTY",0.065000,0.095000,0.030000,0,0,1
AR,71721,"CLARK COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71722,"NEVADA COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71724,CAMDEN,0.065000,0.112500,0.030000,0.017500,0,1
AR,71725,"DALLAS COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71726,"OUACHITA COUNTY",0.065000,0.095000,0.030000,0,0,1
AR,71728,"CLARK COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71730,"EL DORADO",0.065000,0.097500,0.020000,0.012500,0,1
AR,71731,"EL DORADO",0.065000,0.097500,0.020000,0.012500,0,1
AR,71740,"COLUMBIA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71742,FORDYCE,0.065000,0.100000,0.020000,0.015000,0,1
AR,71743,GURDON,0.065000,0.095000,0.015000,0.015000,0,1
AR,71744,"CALHOUN COUNTY",0.065000,0.090000,0.025000,0,0,1
AR,71745,"CALHOUN COUNTY",0.065000,0.090000,0.025000,0,0,1
AR,71747,"UNION COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71748,"DALLAS COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71749,"UNION COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71750,CAMDEN,0.065000,0.112500,0.030000,0.017500,0,1
AR,71751,"OUACHITA COUNTY",0.065000,0.095000,0.030000,0,0,1
AR,71752,"COLUMBIA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71753,MAGNOLIA,0.065000,0.103750,0.015000,0.023750,0,1
AR,71754,MAGNOLIA,0.065000,0.103750,0.015000,0.023750,0,1
AR,71758,"UNION COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71759,CAMDEN,0.065000,0.112500,0.030000,0.017500,0,1
AR,71762,"UNION COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71763,"DALLAS COUNTY",0.065000,0.085000,0.020000,0,0,2
AR,71764,"OUACHITA COUNTY",0.065000,0.095000,0.030000,0,0,1
AR,71765,"UNION COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71766,THORNTON,0.065000,0.100000,0.025000,0.010000,0,1
AR,71770,"COLUMBIA COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71772,"CLARK COUNTY",0.065000,0.080000,0.015000,0,0,1
AR,71801,HOPE,0.065000,0.095000,0.020000,0.010000,0,1
AR,71802,HOPE,0.065000,0.095000,0.020000,0.010000,0,1
AR,71820,"LITTLE RIVER COUNTY",0.065000,0.087500,0.022500,0,0,1
AR,71822,ASHDOWN,0.065000,0.107500,0.022500,0.020000,0,1
AR,71823,"SEVIER COUNTY",0.065000,0.088750,0.023750,0,0,1
AR,71825,"HEMPSTEAD COUNTY",0.065000,0.085000,0.020000,0,0,1
AR,71826,"LAFAYETTE COUNTY",0.065000,0.087500,0.022500,0,0,1
