State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AZ,85001,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85002,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85003,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85004,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85005,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85006,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85007,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85008,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85009,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85010,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85011,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85012,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85013,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85014,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85015,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85016,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85017,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85018,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85019,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85020,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85021,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85022,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85023,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85024,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85026,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85027,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85028,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85029,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85030,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85031,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85032,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85033,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85034,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85035,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85036,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85037,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85038,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85039,"MARICOPA COUNTY",0.056000,0.063000,0.007000,0,0,1
AZ,85040,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85041,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85042,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85043,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85044,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85045,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85046,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85048,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85050,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85051,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85053,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85054,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85060,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85061,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85062,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85063,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85064,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85065,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85066,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85067,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85068,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85069,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85070,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85071,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85072,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85073,"MARICOPA COUNTY",0.056000,0.063000,0.007000,0,0,1
AZ,85074,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85076,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85078,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85079,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85080,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85082,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85083,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85085,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85086,"MARICOPA COUNTY",0.056000,0.063000,0.007000,0,0,3
AZ,85087,"MARICOPA COUNTY",0.056000,0.063000,0.007000,0,0,2
AZ,85097,PHOENIX,0.056000,0.086000,0.007000,0.023000,0,1
AZ,85117,"APACHE JUNCTION (PINAL CO)",0.056000,0.091000,0.011000,0.024000,0,1
AZ,85118,"PINAL COUNTY",0.056000,0.067000,0.011000,0,0,4
AZ,85119,"APACHE JUNCTION (PINAL CO)",0.056000,0.091000,0.011000,0.024000,0,3
AZ,85120,"APACHE JUNCTION (PINAL CO)",0.056000,0.091000,0.011000,0.024000,0,1
AZ,85121,"CASA GRANDE",0.056000,0.087000,0.011000,0.020000,0,1
AZ,85122,"CASA GRANDE",0.056000,0.087000,0.011000,0.020000,0,2
AZ,85123,"PINAL COUNTY",0.056000,0.067000,0.011000,0,0,1
