State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CO,80001,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,1
CO,80002,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,1
CO,80003,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,4
CO,80004,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,1
CO,80005,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,4
CO,80006,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,1
CO,80007,"ARVADA (JEFFERSON CO)",0.029000,0.079600,0.005000,0.034600,0.011000,1
CO,80010,"AURORA (ADAMS CO)",0.029000,0.085000,0.007500,0.037500,0.011000,2
CO,80011,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,2
CO,80012,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,4
CO,80013,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,2
CO,80014,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,4
CO,80015,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,4
CO,80016,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,5
CO,80017,"AURORA (ARAPAHOE CO)",0.029000,0.080000,0.002500,0.037500,0.011000,2
CO,80018,"AURORA CD ONLY",0.029000,0.070000,0.002500,0.037500,0.001000,2
CO,80019,"AURORA (ADAMS CO)",0.029000,0.085000,0.007500,0.037500,0.011000,2
CO,80020,BROOMFIELD,0.029000,0.081500,0,0.041500,0.011000,4
CO,80021,"WESTMINSTER (JEFFERSON CO)",0.029000,0.083500,0.005000,0.038500,0.011000,4
CO,80022,COMMERCE,0.029000,0.092500,0.007500,0.045000,0.011000,4
CO,80023,BROOMFIELD,0.029000,0.081500,0,0.041500,0.011000,5
CO,80024,"ADAMS CO REMAINDER",0.029000,0.047500,0.007500,0,0.011000,1
