State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CT,06001,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06002,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06006,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06010,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06011,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06013,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06016,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06018,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06019,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06020,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06021,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06022,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06023,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06024,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06025,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06026,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06027,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06028,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06029,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06030,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06031,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06032,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06033,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06034,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06035,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06037,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06039,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06040,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06041,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06042,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06043,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06045,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06050,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06051,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06052,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06053,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06057,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06058,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06059,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06060,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06061,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06062,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06063,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06064,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06065,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06066,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06067,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06068,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06069,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06070,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06071,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06072,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06073,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06074,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06075,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06076,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06077,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06078,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06079,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06080,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06081,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06082,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06083,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06084,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06085,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06088,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06089,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06090,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06091,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06092,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06093,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06094,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06095,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06096,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06098,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06101,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06102,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06103,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06104,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06105,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06106,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06107,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06108,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06109,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06110,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06111,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06112,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06114,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06115,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06117,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06118,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06119,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06120,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06123,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06126,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06127,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06128,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06129,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06131,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06132,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06133,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06134,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06137,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06138,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06140,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06141,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06142,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06143,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06144,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06145,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06146,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06147,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06150,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06151,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06152,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06153,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06154,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06155,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06156,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06160,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06161,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06167,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06176,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06180,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06183,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06199,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06226,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06230,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06231,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06232,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06233,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06234,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06235,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06237,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06238,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06239,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06241,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06242,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06243,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06244,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06245,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06246,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06247,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06248,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06249,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06250,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06251,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06254,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06255,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06256,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06258,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06259,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06260,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06262,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06263,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06264,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06265,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06266,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06267,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06268,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06269,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06277,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06278,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06279,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06280,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06281,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06282,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06320,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06330,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06331,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06332,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06333,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06334,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06335,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06336,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06338,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06339,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06340,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06349,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06350,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06351,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06353,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06354,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06355,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06357,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06359,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06360,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06365,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06370,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06371,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06372,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06373,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06374,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06375,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06376,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06377,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06378,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06379,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06380,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06382,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06383,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06384,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06385,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
CT,06387,"CONNECTICUT STATE",0.063500,0.063500,0,0,0,0
