State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32003,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32004,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32006,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32007,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32008,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32009,"NASSAU COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32011,"NASSAU COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32013,"LAFAYETTE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32024,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32025,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32030,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32033,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32034,"AMELIA ISLAND",0.060000,0.070000,0.010000,0,0.000000,4
FL,32035,"AMELIA ISLAND",0.060000,0.070000,0.010000,0,0.000000,3
FL,32038,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32040,"BAKER COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32041,"NASSAU COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32042,"BRADFORD COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32043,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32044,"BRADFORD COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32046,"NASSAU COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32050,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32052,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32053,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32054,"UNION COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32055,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32056,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32058,"BRADFORD COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32059,"MADISON COUNTY",0.060000,0.075000,0.015000,0,0,1
FL,32060,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32061,"COLUMBIA COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32062,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32063,"BAKER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32064,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,3
FL,32065,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32066,"LAFAYETTE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32067,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32068,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32071,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32073,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32079,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32080,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,5
FL,32081,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,3
FL,32082,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32083,"UNION COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32084,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,4
FL,32085,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32086,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,4
FL,32087,"BAKER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32091,"BRADFORD COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32092,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32094,"SUWANNEE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32095,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32096,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32097,"NASSAU COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32099,"DUVAL COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32102,"LAKE COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32105,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32110,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32111,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32112,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32113,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32114,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32115,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32116,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32117,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32118,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32119,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32120,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32121,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32122,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32123,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,3
FL,32124,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32125,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,2
FL,32126,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32127,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,3
FL,32128,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32129,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32130,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32131,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32132,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32133,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32134,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32135,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32136,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32137,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32138,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32139,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32140,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32141,"VOLUSIA COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32142,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32143,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32145,"ST. JOHNS COUNTY",0.060000,0.065000,0.005000,0,0,1
FL,32147,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32148,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32149,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32157,"PUTNAM COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32158,"LAKE COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32159,"LAKE COUNTY",0.060000,0.070000,0.010000,0,0,3
FL,32160,"CLAY COUNTY",0.060000,0.070000,0.010000,0,0,1
FL,32162,"SUMTER COUNTY",0.060000,0.070000,0.010000,0,0,3
FL,32163,"SUMTER COUNTY",0.060000,0.070000,0.010000,0,0,2
FL,32164,"FLAGLER COUNTY",0.060000,0.070000,0.010000,0,0,1
