State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
GA,30002,"DEKALB CO TSPLOST SP",0.040000,0.080000,0.030000,0,0.010000,1
GA,30003,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,2
GA,30004,"FULTON COUNTY",0.040000,0.077500,0.030000,0,0.007500,2
GA,30005,"FULTON COUNTY",0.040000,0.077500,0.030000,0,0.007500,3
GA,30006,"COBB COUNTY",0.040000,0.060000,0.020000,0,0,1
GA,30007,"COBB COUNTY",0.040000,0.060000,0.020000,0,0,1
GA,30008,"COBB COUNTY",0.040000,0.060000,0.020000,0,0,1
GA,30009,"FULTON COUNTY",0.040000,0.077500,0.030000,0,0.007500,2
GA,30010,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,4
GA,30011,"BARROW COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30012,"ROCKDALE COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30013,"ROCKDALE COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30014,"NEWTON COUNTY",0.040000,0.070000,0.030000,0,0,4
GA,30015,"NEWTON COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30016,"NEWTON COUNTY",0.040000,0.070000,0.030000,0,0,2
GA,30017,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,1
GA,30018,"WALTON COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30019,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,1
GA,30021,"DEKALB CO TSPLOST SP",0.040000,0.080000,0.030000,0,0.010000,1
GA,30022,"FULTON COUNTY",0.040000,0.077500,0.030000,0,0.007500,3
GA,30023,"FULTON COUNTY",0.040000,0.077500,0.030000,0,0.007500,1
GA,30024,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,3
GA,30025,"WALTON COUNTY",0.040000,0.070000,0.030000,0,0,1
GA,30026,"GWINNETT COUNTY",0.040000,0.060000,0.020000,0,0,3
