State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
HI,96701,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96703,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96704,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,2
HI,96705,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96706,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96707,HONOLULU,0.040000,0.045000,0.005000,0,0,3
HI,96708,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96709,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96710,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96712,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96713,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,2
HI,96714,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96715,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,2
HI,96716,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96717,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96718,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96719,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96720,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96721,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96722,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96725,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96726,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96727,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,3
HI,96728,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96729,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96730,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96731,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96732,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96733,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96734,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96737,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96738,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96739,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96740,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96741,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96742,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96743,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,2
HI,96744,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96745,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96746,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96747,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96748,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96749,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96750,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96751,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96752,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96753,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,2
HI,96754,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96755,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96756,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96757,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96759,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96760,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96761,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96762,HONOLULU,0.040000,0.045000,0.005000,0,0,1
HI,96763,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96764,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96765,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96766,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96767,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96768,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96769,"KAUAI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96770,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96771,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96772,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96773,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96774,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96776,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96777,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96778,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96779,"MAUI COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96780,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96781,"HAWAII COUNTY",0.040000,0.040000,0.000000,0,0,1
HI,96782,HONOLULU,0.040000,0.045000,0.005000,0,0,1
