State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IA,50001,"WARREN COUNTY",0.060000,0.060000,0.000000,0,0,2
IA,50002,"ADAIR COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50003,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50005,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50006,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50007,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50008,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50009,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50010,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50011,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50012,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50013,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50014,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50020,"CASS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50021,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50022,"CASS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50023,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50025,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50026,"GUTHRIE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50027,"MAHASKA COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50028,"JASPER COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50029,"GUTHRIE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50031,"BOONE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50032,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50033,"BEVINGTON (MADISON CO)",0.060000,0.070000,0.000000,0.010000,0,3
IA,50034,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50035,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50036,"BOONE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50037,"BOONE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50038,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50039,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,2
IA,50040,"BOONE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50041,"FRANKLIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50042,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50044,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50046,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50047,CARLISLE,0.060000,0.070000,0.010000,0.000000,0,4
IA,50048,"GUTHRIE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50049,"LUCAS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50050,"GREENE COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
IA,50051,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50052,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50054,"JASPER COUNTY",0.060000,0.070000,0.010000,0,0,3
IA,50055,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50056,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50057,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50058,"CARROLL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50059,"GREENE COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
IA,50060,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,3
IA,50061,CUMMING,0.060000,0.070000,0.010000,0.000000,0,4
IA,50062,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50063,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50064,"GREENE COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
IA,50065,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50066,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50067,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50068,"LUCAS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50069,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50070,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50071,"WRIGHT COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50072,"MADISON COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50073,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,3
IA,50074,"RINGGOLD COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50075,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50076,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50078,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50099,"BOONE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50101,"WRIGHT COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50102,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50103,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50104,"KEOKUK COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50105,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50106,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50107,"GREENE COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
IA,50108,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50109,"DALLAS COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50110,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50111,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,2
IA,50112,"POWESHIEK COUNTY",0.060000,0.070000,0.010000,0,0,3
IA,50115,"GUTHRIE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50116,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50117,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50118,HARTFORD,0.060000,0.070000,0.010000,0.000000,0,1
IA,50119,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50120,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50122,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50123,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,2
