State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IL,60002,"LAKE COUNTY",0.062500,0.070000,0.000000,0,0.007500,2
IL,60004,"ARLINGTON HEIGHTS",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60005,"ARLINGTON HEIGHTS",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60006,"ARLINGTON HEIGHTS",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60007,"ELK GROVE VILLAGE (COOK CO)",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60008,"ROLLING MEADOWS",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60009,"ELK GROVE VILLAGE (COOK CO)",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60010,"LAKE BARRINGTON",0.062500,0.070000,0.000000,0.000000,0.007500,16
IL,60011,"BARRINGTON (COOK CO)",0.062500,0.090000,0.017500,0.000000,0.010000,1
IL,60012,"MCHENRY COUNTY",0.062500,0.070000,0.000000,0,0.007500,4
IL,60013,CARY,0.062500,0.070000,0.000000,0.000000,0.007500,3
IL,60014,"CRYSTAL LAKE",0.062500,0.077500,0.000000,0.007500,0.007500,4
IL,60015,"DEERFIELD (LAKE CO)",0.062500,0.080000,0.000000,0.010000,0.007500,3
IL,60016,"DES PLAINES",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60017,"DES PLAINES",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60018,"DES PLAINES",0.062500,0.100000,0.017500,0.010000,0.010000,2
IL,60019,"DES PLAINES",0.062500,0.100000,0.017500,0.010000,0.010000,2
IL,60020,"FOX LAKE (LAKE CO)",0.062500,0.070000,0.000000,0.000000,0.007500,3
IL,60021,"FOX RIVER GROVE (MC HENRY CO)",0.062500,0.070000,0.000000,0.000000,0.007500,3
IL,60022,GLENCOE,0.062500,0.090000,0.017500,0.000000,0.010000,1
IL,60025,GLENVIEW,0.062500,0.097500,0.017500,0.007500,0.010000,1
IL,60026,GLENVIEW,0.062500,0.097500,0.017500,0.007500,0.010000,1
IL,60029,GOLF,0.062500,0.090000,0.017500,0.000000,0.010000,1
IL,60030,GRAYSLAKE,0.062500,0.070000,0.000000,0.000000,0.007500,7
IL,60031,GURNEE,0.062500,0.080000,0.000000,0.010000,0.007500,1
IL,60033,HARVARD,0.062500,0.070000,0.000000,0.000000,0.007500,2
IL,60034,HEBRON,0.062500,0.070000,0.000000,0.000000,0.007500,1
IL,60035,"HIGHLAND PARK",0.062500,0.080000,0.000000,0.010000,0.007500,1
IL,60037,"LAKE FOREST",0.062500,0.075000,0.000000,0.005000,0.007500,2
IL,60038,PALATINE,0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60039,"CRYSTAL LAKE",0.062500,0.077500,0.000000,0.007500,0.007500,1
IL,60040,HIGHWOOD,0.062500,0.087500,0.000000,0.017500,0.007500,1
IL,60041,"LAKE COUNTY",0.062500,0.070000,0.000000,0,0.007500,4
IL,60042,"ISLAND LAKE (LAKE CO)",0.062500,0.070000,0.000000,0.000000,0.007500,1
IL,60043,KENILWORTH,0.062500,0.090000,0.017500,0.000000,0.010000,1
IL,60044,"LAKE BLUFF",0.062500,0.080000,0.000000,0.010000,0.007500,3
IL,60045,"LAKE FOREST",0.062500,0.075000,0.000000,0.005000,0.007500,4
IL,60046,"LAKE COUNTY",0.062500,0.070000,0.000000,0,0.007500,7
IL,60047,"LAKE ZURICH",0.062500,0.075000,0.000000,0.005000,0.007500,9
IL,60048,LIBERTYVILLE,0.062500,0.070000,0.000000,0.000000,0.007500,3
IL,60050,MCHENRY,0.062500,0.075000,0.000000,0.005000,0.007500,8
IL,60051,"MCHENRY COUNTY",0.062500,0.070000,0.000000,0,0.007500,6
IL,60053,"MORTON GROVE",0.062500,0.102500,0.017500,0.012500,0.010000,1
IL,60055,PALATINE,0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60056,"MOUNT PROSPECT",0.062500,0.100000,0.017500,0.010000,0.010000,1
IL,60060,MUNDELEIN,0.062500,0.080000,0.000000,0.010000,0.007500,2
IL,60061,"VERNON HILLS",0.062500,0.072500,0.000000,0.002500,0.007500,2
IL,60062,"NORTHBROOK (COOK CO)",0.062500,0.097500,0.017500,0.007500,0.010000,1
IL,60064,"NORTH CHICAGO",0.062500,0.070000,0.000000,0.000000,0.007500,2
