State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IN,46001,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46011,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46012,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46013,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46014,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46015,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46016,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46017,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46018,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46030,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46031,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46032,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46033,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46034,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46035,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46036,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46037,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46038,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46039,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46040,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46041,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46044,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46045,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46047,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46048,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46049,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46050,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46051,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46052,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46055,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46056,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46057,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46058,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46060,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46061,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46062,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46063,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46064,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46065,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46067,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46068,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46069,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46070,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46071,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46072,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46074,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46075,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46076,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46077,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46082,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46085,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46102,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46103,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46104,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46105,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46106,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46107,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46110,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46111,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46112,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46113,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46115,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46117,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46118,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46120,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46121,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46122,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46123,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46124,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46125,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46126,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46127,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46128,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46130,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46131,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46133,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46135,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46140,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46142,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46143,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46144,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46146,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46147,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46148,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46149,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46150,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46151,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46154,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46155,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46156,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46157,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46158,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46160,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46161,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46162,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46163,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46164,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46165,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46166,"INDIANA STATE",0.070000,0.070000,0,0,0,0
IN,46167,"INDIANA STATE",0.070000,0.070000,0,0,0,0
