State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
KS,66002,ATCHISON,0.065000,0.087500,0.012500,0.010000,0,2
KS,66006,BALDWIN,0.065000,0.087500,0.010000,0.012500,0,1
KS,66007,BASEHOR,0.065000,0.085000,0.010000,0.010000,0,1
KS,66008,"DONIPHAN COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66010,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,1
KS,66012,"BONNER SPRINGS (WYANDOTTE CO)",0.065000,0.092500,0.010000,0.017500,0,2
KS,66013,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,4
KS,66014,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,1
KS,66015,"ANDERSON COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66016,"ATCHISON COUNTY",0.065000,0.077500,0.012500,0,0,1
KS,66017,"DONIPHAN COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66018,"DE SOTO (JOHNSON CO)",0.065000,0.097250,0.014750,0.017500,0,1
KS,66020,"LEAVENWORTH COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66021,EDGERTON,0.065000,0.089750,0.014750,0.010000,0,1
KS,66023,"ATCHISON COUNTY",0.065000,0.077500,0.012500,0,0,1
KS,66024,ELWOOD,0.065000,0.085000,0.010000,0.010000,0,1
KS,66025,EUDORA,0.065000,0.092500,0.010000,0.017500,0,1
KS,66026,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66027,LEAVENWORTH,0.065000,0.095000,0.010000,0.020000,0,1
KS,66030,GARDNER,0.065000,0.094750,0.014750,0.015000,0,2
KS,66031,"JOHNSON COUNTY",0.065000,0.079750,0.014750,0,0,1
KS,66032,"ANDERSON COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66033,"ANDERSON COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66035,HIGHLAND,0.065000,0.085000,0.010000,0.010000,0,1
KS,66036,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66039,"ANDERSON COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66040,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,2
KS,66041,"ATCHISON COUNTY",0.065000,0.077500,0.012500,0,0,2
KS,66042,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66043,LANSING,0.065000,0.089500,0.010000,0.014500,0,2
KS,66044,LAWRENCE,0.065000,0.090500,0.010000,0.015500,0,1
KS,66045,LAWRENCE,0.065000,0.090500,0.010000,0.015500,0,1
KS,66046,LAWRENCE,0.065000,0.090500,0.010000,0.015500,0,1
KS,66047,LAWRENCE,0.065000,0.090500,0.010000,0.015500,0,1
KS,66048,LEAVENWORTH,0.065000,0.095000,0.010000,0.020000,0,1
KS,66049,LAWRENCE,0.065000,0.090500,0.010000,0.015500,0,1
KS,66050,"DOUGLAS COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66051,OLATHE,0.065000,0.094750,0.014750,0.015000,0,1
KS,66052,"LEAVENWORTH COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66053,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66054,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66056,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,1
KS,66058,"ATCHISON COUNTY",0.065000,0.077500,0.012500,0,0,1
KS,66060,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66061,OLATHE,0.065000,0.094750,0.014750,0.015000,0,1
KS,66062,OLATHE,0.065000,0.094750,0.014750,0.015000,0,4
KS,66063,OLATHE,0.065000,0.094750,0.014750,0.015000,0,1
KS,66064,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66066,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66067,OTTAWA,0.065000,0.096000,0.015000,0.016000,0,2
KS,66070,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66071,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66072,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,1
KS,66073,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66075,"LINN COUNTY",0.065000,0.065000,0.000000,0,0,1
KS,66076,"FRANKLIN COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66078,"FRANKLIN COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66079,"FRANKLIN COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66080,"FRANKLIN COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66083,"MIAMI COUNTY",0.065000,0.080000,0.015000,0,0,1
KS,66085,"JOHNSON COUNTY",0.065000,0.079750,0.014750,0,0,4
KS,66086,"LEAVENWORTH COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66087,"DONIPHAN COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66088,"JEFFERSON COUNTY",0.065000,0.075000,0.010000,0,0,1
KS,66090,WATHENA,0.065000,0.085000,0.010000,0.010000,0,1
KS,66091,"ANDERSON COUNTY",0.065000,0.080000,0.015000,0,0,1
