State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MA,01001,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01002,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01003,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01004,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01005,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01007,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01008,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01009,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01010,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01011,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01012,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01013,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01014,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01020,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01021,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01022,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01026,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01027,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01028,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01029,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01030,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01031,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01032,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01033,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01034,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01035,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01036,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01037,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01038,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01039,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01040,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01041,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01050,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01053,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01054,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01056,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01057,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01059,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
MA,01060,"MASSACHUSETTS STATE",0.062500,0.062500,0,0,0,0
