State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MN,55001,WOODBURY,0.068750,0.071250,0,0,0.002500,1
MN,55002,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55003,WOODBURY,0.068750,0.071250,0,0,0.002500,2
MN,55005,"ANOKA CO",0.068750,0.071250,0,0,0.002500,5
MN,55006,"MINNESOTA STATE",0.068750,0.068750,0,0,0,3
MN,55007,"MINNESOTA STATE",0.068750,0.068750,0,0,0,3
MN,55008,"MINNESOTA STATE",0.068750,0.068750,0,0,0,3
MN,55009,"MINNESOTA STATE",0.068750,0.068750,0,0,0,4
MN,55010,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55011,"ANOKA CO",0.068750,0.071250,0,0,0.002500,5
MN,55012,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55013,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55014,"ANOKA CO",0.068750,0.071250,0,0,0.002500,8
MN,55016,WOODBURY,0.068750,0.071250,0,0,0.002500,1
MN,55017,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55018,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55019,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55020,"SCOTT COUNTY",0.068750,0.073750,0,0,0.005000,3
MN,55021,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55024,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55025,WOODBURY,0.068750,0.071250,0,0,0.002500,4
MN,55026,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55027,"MINNESOTA STATE",0.068750,0.068750,0,0,0,2
MN,55029,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55030,"PINE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55031,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,2
MN,55032,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55033,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55036,"PINE COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55037,"PINE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55038,WOODBURY,0.068750,0.071250,0,0,0.002500,6
MN,55040,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55041,"WABASHA COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55042,WOODBURY,0.068750,0.071250,0,0,0.002500,2
MN,55043,WOODBURY,0.068750,0.071250,0,0,0.002500,6
MN,55044,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,3
MN,55045,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55046,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55047,WOODBURY,0.068750,0.071250,0,0,0.002500,5
MN,55049,"STEELE COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55051,"MINNESOTA STATE",0.068750,0.068750,0,0,0,6
MN,55052,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55053,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55054,"SCOTT COUNTY",0.068750,0.073750,0,0,0.005000,3
MN,55055,WOODBURY,0.068750,0.071250,0,0,0.002500,1
MN,55056,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55057,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55060,"STEELE COUNTY",0.068750,0.073750,0,0,0.005000,4
MN,55063,"PINE COUNTY",0.068750,0.073750,0,0,0.005000,4
MN,55065,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55066,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55067,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55068,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55069,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55070,"ANOKA CO",0.068750,0.071250,0,0,0.002500,2
MN,55071,WOODBURY,0.068750,0.071250,0,0,0.002500,3
MN,55072,"PINE COUNTY",0.068750,0.073750,0,0,0.005000,5
MN,55073,WOODBURY,0.068750,0.071250,0,0,0.002500,4
MN,55074,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55075,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,2
MN,55076,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,4
MN,55077,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55078,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55079,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,3
MN,55080,"MINNESOTA STATE",0.068750,0.068750,0,0,0,2
MN,55082,WOODBURY,0.068750,0.071250,0,0,0.002500,3
MN,55083,WOODBURY,0.068750,0.071250,0,0,0.002500,1
MN,55084,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,2
MN,55085,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55087,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55088,"RICE COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55089,"MINNESOTA STATE",0.068750,0.068750,0,0,0,3
MN,55090,WOODBURY,0.068750,0.071250,0,0,0.002500,1
MN,55092,"CHISAGO COUNTY",0.068750,0.073750,0,0,0.005000,5
MN,55101,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55102,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55103,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55104,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55105,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55106,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,5
MN,55107,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55108,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55109,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,9
MN,55110,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,12
MN,55111,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,5
MN,55112,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,8
MN,55113,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,8
MN,55114,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55115,WOODBURY,0.068750,0.071250,0,0,0.002500,8
MN,55116,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55117,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55118,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,9
MN,55119,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,5
MN,55120,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,6
MN,55121,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55122,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55123,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55124,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55125,WOODBURY,0.068750,0.071250,0,0,0.002500,5
MN,55126,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,9
MN,55127,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,7
MN,55128,WOODBURY,0.068750,0.071250,0,0,0.002500,7
MN,55129,WOODBURY,0.068750,0.071250,0,0,0.002500,5
MN,55130,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55133,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,4
MN,55144,"RAMSEY CO",0.068750,0.073750,0,0,0.005000,5
MN,55145,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55146,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55150,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,5
MN,55155,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55164,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,4
MN,55165,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55168,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55170,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,4
MN,55301,"WRIGHT COUNTY",0.068750,0.073750,0,0,0.005000,4
MN,55302,"WRIGHT COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55303,"ANOKA CO",0.068750,0.071250,0,0,0.002500,6
MN,55304,"ANOKA CO",0.068750,0.071250,0,0,0.002500,4
MN,55305,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,2
MN,55306,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
MN,55307,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55308,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55309,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55310,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55311,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,4
MN,55312,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55313,"WRIGHT COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55314,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55315,"CARVER COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55316,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,1
MN,55317,"CARVER COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55318,"CARVER COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55319,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55320,"STEARNS COUNTY",0.068750,0.071250,0,0,0.002500,3
MN,55321,"WRIGHT COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55322,"CARVER COUNTY",0.068750,0.073750,0,0,0.005000,1
MN,55323,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,2
MN,55324,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55325,"MINNESOTA STATE",0.068750,0.068750,0,0,0,2
MN,55327,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,5
MN,55328,"WRIGHT COUNTY",0.068750,0.073750,0,0,0.005000,3
MN,55329,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55330,"MINNESOTA STATE",0.068750,0.068750,0,0,0,7
MN,55331,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,9
MN,55332,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55333,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55334,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55335,"MINNESOTA STATE",0.068750,0.068750,0,0,0,1
MN,55336,"MINNESOTA STATE",0.068750,0.068750,0,0,0,2
MN,55337,"WEST SAINT PAUL",0.068750,0.071250,0,0,0.002500,1
