State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MO,63005,CHESTERFIELD,0.042250,0.086130,0.021380,0.010000,0.012500,5
MO,63006,"TOWN AND COUNTRY",0.042250,0.088630,0.021380,0.012500,0.012500,1
MO,63010,ARNOLD,0.042250,0.083500,0.016250,0.012500,0.012500,1
MO,63011,BALLWIN,0.042250,0.086130,0.021380,0.010000,0.012500,5
MO,63012,"JEFFERSON CO ANTONIA FIRE/ROCK TWNSHP AMB",0.042250,0.071000,0.016250,0,0.012500,1
MO,63013,"FRANKLIN CO GERALD AMB DI",0.042250,0.064750,0.017500,0,0.005000,1
MO,63014,"FRANKLIN CO/HERMANN AREA AMBULANCE DISTRICT",0.042250,0.064750,0.017500,0,0.005000,2
MO,63015,"FRANKLIN CO MERAMEC AMB",0.042250,0.064750,0.017500,0,0.005000,1
MO,63016,"JEFFERSON CO BIG RIVER AMB",0.042250,0.068500,0.016250,0,0.010000,2
MO,63017,CHESTERFIELD,0.042250,0.086130,0.021380,0.010000,0.012500,2
MO,63019,CRYSTAL,0.042250,0.091000,0.016250,0.022500,0.010000,1
MO,63020,"JEFF CO VALLE AMB DIST",0.042250,0.068500,0.016250,0,0.010000,2
MO,63021,"ST. LOUIS COUNTY",0.042250,0.076130,0.021380,0,0.012500,7
MO,63022,BALLWIN,0.042250,0.086130,0.021380,0.010000,0.012500,1
MO,63023,"JEFFERSON CO BIG RIVER AMB",0.042250,0.068500,0.016250,0,0.010000,1
MO,63024,MANCHESTER,0.042250,0.088630,0.021380,0.012500,0.012500,1
MO,63025,EUREKA,0.042250,0.086130,0.021380,0.010000,0.012500,9
MO,63026,"ST. LOUIS COUNTY",0.042250,0.076130,0.021380,0,0.012500,2
MO,63028,"JEFFERSON CO JOACHIM-PLATTIN AMB",0.042250,0.068500,0.016250,0,0.010000,1
MO,63030,"WASHINGTON COUNTY / WASHINGTON CO AMBULANCE DIST",0.042250,0.072250,0.025000,0,0.005000,1
