State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MS,38601,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38602,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38603,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38606,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38609,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38610,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38611,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38614,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,8
MS,38617,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,4
MS,38618,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38619,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38620,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38621,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38622,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38623,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38625,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38626,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38627,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38629,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38631,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38632,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38633,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38634,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38635,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38637,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38638,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38639,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38641,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38642,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38643,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38644,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38645,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38646,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38647,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38649,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38650,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38651,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38652,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38654,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38655,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38658,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38659,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,6
MS,38661,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38663,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38664,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,7
MS,38665,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38666,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38668,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38669,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38670,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38671,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38672,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38673,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38674,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38676,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,6
MS,38677,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38679,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38680,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,4
MS,38683,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38685,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38686,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38701,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,6
MS,38702,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38703,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38704,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38720,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38721,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38722,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38723,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38725,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38726,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38730,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38731,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38732,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38733,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38736,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38737,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38738,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38739,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38740,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38744,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38745,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38746,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,4
MS,38748,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,7
MS,38749,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38751,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38753,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38754,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38756,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,8
MS,38759,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38760,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38761,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38762,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38764,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38765,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38767,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38768,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38769,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,4
MS,38771,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38772,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38773,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38774,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38776,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38778,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38780,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38781,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38782,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38801,TUPELO,0.070000,0.072500,0,0.002500,0,5
MS,38802,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38803,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38804,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38820,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38821,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38824,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,6
MS,38825,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38826,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38827,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38828,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,8
MS,38829,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38833,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38834,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38835,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38838,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38839,TUPELO,0.070000,0.072500,0,0.002500,0,1
MS,38841,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,3
MS,38843,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38844,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38846,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38847,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,1
MS,38848,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
MS,38849,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,5
MS,38850,"MISSISSIPPI STATE",0.070000,0.070000,0,0,0,2
