State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
ND,58001,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58002,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58004,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58005,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58006,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58007,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58008,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58009,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58011,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58012,CASSELTON,0.050000,0.075000,0.005000,0.020000,0,1
ND,58013,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58015,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58016,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58017,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,3
ND,58018,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58021,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58027,ENDERLIN,0.050000,0.070000,0,0.020000,0,1
ND,58029,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58030,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58031,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,2
ND,58032,FORMAN,0.050000,0.065000,0,0.015000,0,1
ND,58033,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58035,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58036,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58038,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58040,GWINNER,0.050000,0.070000,0,0.020000,0,2
ND,58041,HANKINSON,0.050000,0.070000,0,0.020000,0,1
ND,58042,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,3
ND,58043,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58045,HILLSBORO,0.050000,0.070000,0,0.020000,0,2
ND,58046,HOPE,0.050000,0.080000,0.010000,0.020000,0,2
ND,58047,HORACE,0.050000,0.075000,0.005000,0.020000,0,4
ND,58048,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58049,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,2
ND,58051,KINDRED,0.050000,0.075000,0.005000,0.020000,0,1
ND,58052,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,1
ND,58053,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,2
ND,58054,LISBON,0.050000,0.070000,0,0.020000,0,1
ND,58056,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58057,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58058,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
ND,58059,"CASS COUNTY",0.050000,0.055000,0.005000,0,0,2
ND,58060,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,2
ND,58061,"NORTH DAKOTA STATE",0.050000,0.050000,0,0,0,1
