State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NE,68001,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68002,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68003,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68004,BANCROFT,0.055000,0.070000,0,0.015000,0,1
NE,68005,BELLEVUE,0.055000,0.070000,0,0.015000,0,1
NE,68007,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68008,BLAIR,0.055000,0.070000,0,0.015000,0,1
NE,68009,BLAIR,0.055000,0.070000,0,0.015000,0,1
NE,68010,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68014,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68015,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68016,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68017,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68018,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68019,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68020,DECATUR,0.055000,0.065000,0,0.010000,0,1
NE,68022,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68023,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68025,FREMONT,0.055000,0.070000,0,0.015000,0,2
NE,68026,FREMONT,0.055000,0.070000,0,0.015000,0,1
NE,68028,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68029,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68030,"DAKOTA COUNTY",0.055000,0.060000,0.005000,0,0,1
NE,68031,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68033,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68034,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68036,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68037,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68038,LYONS,0.055000,0.070000,0,0.015000,0,1
NE,68039,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68040,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68041,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68042,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68044,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68045,OAKLAND,0.055000,0.065000,0,0.010000,0,1
NE,68046,PAPILLION,0.055000,0.075000,0,0.020000,0,1
NE,68047,PENDER,0.055000,0.065000,0,0.010000,0,1
NE,68048,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68050,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68055,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68056,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68057,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68058,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68059,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68061,TEKAMAH,0.055000,0.070000,0,0.015000,0,1
NE,68062,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68063,UEHLING,0.055000,0.065000,0,0.010000,0,1
NE,68064,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68065,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68066,WAHOO,0.055000,0.070000,0,0.015000,0,1
NE,68067,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68068,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68069,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68070,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68071,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68072,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68073,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68101,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68102,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68103,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68104,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68105,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68106,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68107,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68108,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68109,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68110,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68111,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68112,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68113,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68114,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68116,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68117,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68118,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68119,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68122,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68123,"NEBRASKA STATE",0.055000,0.055000,0,0,0,3
NE,68124,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68127,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68128,"LA VISTA",0.055000,0.075000,0,0.020000,0,3
NE,68130,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68131,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68132,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68133,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68134,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68135,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68136,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68137,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68138,"NEBRASKA STATE",0.055000,0.055000,0,0,0,3
NE,68139,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68142,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68144,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68145,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68147,BELLEVUE,0.055000,0.070000,0,0.015000,0,3
NE,68152,OMAHA,0.055000,0.070000,0,0.015000,0,3
NE,68154,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68157,BELLEVUE,0.055000,0.070000,0,0.015000,0,4
NE,68164,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68172,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68175,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68176,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68178,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68179,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68180,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68182,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68183,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68197,OMAHA,0.055000,0.070000,0,0.015000,0,1
NE,68198,OMAHA,0.055000,0.070000,0,0.015000,0,2
NE,68301,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68303,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68304,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68305,AUBURN,0.055000,0.065000,0,0.010000,0,5
NE,68307,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68309,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68310,BEATRICE,0.055000,0.070000,0,0.015000,0,7
NE,68313,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68314,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68315,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68316,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68317,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68318,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68319,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68320,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68321,BROWNVILLE,0.055000,0.065000,0,0.010000,0,1
NE,68322,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68323,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68324,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68325,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68326,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68327,CHESTER,0.055000,0.065000,0,0.010000,0,1
NE,68328,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68329,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68330,CORDOVA,0.055000,0.065000,0,0.010000,0,1
NE,68331,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68332,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68333,CRETE,0.055000,0.075000,0,0.020000,0,2
NE,68335,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68336,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68337,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68338,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68339,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68340,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68341,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68342,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68343,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68344,DOUGLAS,0.055000,0.070000,0,0.015000,0,1
NE,68345,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68346,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68347,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68348,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68349,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68350,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68351,EXETER,0.055000,0.070000,0,0.015000,0,1
NE,68352,FAIRBURY,0.055000,0.075000,0,0.020000,0,4
NE,68354,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68355,"FALLS CITY",0.055000,0.070000,0,0.015000,0,3
NE,68357,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68358,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68359,FRIEND,0.055000,0.065000,0,0.010000,0,1
NE,68360,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68361,GENEVA,0.055000,0.075000,0,0.020000,0,1
NE,68362,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68364,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68365,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68366,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68367,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68368,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68370,HEBRON,0.055000,0.065000,0,0.010000,0,1
NE,68371,HENDERSON,0.055000,0.070000,0,0.015000,0,2
NE,68372,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68375,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68376,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68377,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68378,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68379,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68380,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68381,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68382,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68401,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68402,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68403,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68404,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68405,MILFORD,0.055000,0.065000,0,0.010000,0,1
NE,68406,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68407,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68409,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68410,"NEBRASKA CITY",0.055000,0.075000,0,0.020000,0,3
NE,68413,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68414,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68415,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68416,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68417,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68418,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68419,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68420,"PAWNEE (CITY)",0.055000,0.075000,0,0.020000,0,1
NE,68421,PERU,0.055000,0.065000,0,0.010000,0,1
NE,68422,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68423,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68424,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68428,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68429,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68430,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68431,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68433,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68434,SEWARD,0.055000,0.070000,0,0.015000,0,2
NE,68436,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68437,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68438,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68439,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68440,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68441,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68442,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68443,STERLING,0.055000,0.065000,0,0.010000,0,2
NE,68444,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68445,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68446,SYRACUSE,0.055000,0.065000,0,0.010000,0,1
NE,68447,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68448,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68450,TECUMSEH,0.055000,0.070000,0,0.015000,0,2
NE,68452,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68453,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68454,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68455,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68456,UTICA,0.055000,0.070000,0,0.015000,0,1
NE,68457,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68458,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68460,"NEBRASKA STATE",0.055000,0.055000,0,0,0,2
NE,68461,"NEBRASKA STATE",0.055000,0.055000,0,0,0,1
NE,68462,WAVERLY,0.055000,0.065000,0,0.010000,0,1
