State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NM,87001,"SANDOVAL COUNTY",0.051250,0.062500,0.011250,0,0,4
NM,87002,BELEN,0.051250,0.083125,0.000000,0.031875,0,4
NM,87004,"BERNALILLO (CITY)",0.051250,0.070625,0.000000,0.019375,0,5
NM,87005,"CIBOLA COUNTY",0.051250,0.068125,0.016875,0,0,1
NM,87006,"SOCORRO COUNTY",0.051250,0.063750,0.012500,0,0,4
NM,87007,"LAGUNA PUEBLO (2) (CIBOLA CO)",0.000000,0.068125,0.000000,0,0.068125,1
NM,87008,"BERNALILLO COUNTY",0.051250,0.064375,0.013125,0,0,1
NM,87009,ESTANCIA,0.051250,0.081875,0.000000,0.030625,0,1
NM,87010,"SANTA FE COUNTY",0.051250,0.071250,0.020000,0,0,2
NM,87011,"SOCORRO COUNTY",0.051250,0.063750,0.012500,0,0,1
NM,87012,"RIO ARRIBA COUNTY",0.051250,0.068750,0.017500,0,0,2
NM,87013,CUBA,0.051250,0.081875,0.000000,0.030625,0,3
NM,87014,"CIBOLA COUNTY",0.051250,0.068125,0.016875,0,0,1
NM,87015,EDGEWOOD,0.051250,0.081875,0.000000,0.030625,0,1
NM,87016,"TORRANCE COUNTY",0.051250,0.067500,0.016250,0,0,2
NM,87017,"RIO ARRIBA COUNTY",0.051250,0.068750,0.017500,0,0,1
NM,87018,"SAN JUAN COUNTY",0.051250,0.065625,0.014375,0,0,1
NM,87020,GRANTS,0.051250,0.081250,0.000000,0.030000,0,1
NM,87021,GRANTS,0.051250,0.081250,0.000000,0.030000,0,1
NM,87022,"BERNALILLO COUNTY",0.051250,0.064375,0.013125,0,0,1
NM,87023,"VALENCIA COUNTY",0.051250,0.068750,0.017500,0,0,1
NM,87024,"SANDOVAL COUNTY",0.051250,0.062500,0.011250,0,0,1
NM,87025,"SANDOVAL COUNTY",0.051250,0.062500,0.011250,0,0,1
NM,87026,"VALENCIA COUNTY",0.051250,0.068750,0.017500,0,0,1
NM,87027,"SANDOVAL COUNTY",0.051250,0.062500,0.011250,0,0,2
NM,87028,"SOCORRO COUNTY",0.051250,0.063750,0.012500,0,0,1
NM,87029,"RIO ARRIBA COUNTY",0.051250,0.068750,0.017500,0,0,3
NM,87031,"VALENCIA COUNTY",0.051250,0.068750,0.017500,0,0,1
