State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OH,43001,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43002,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43003,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43004,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43005,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43006,"HOLMES COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43007,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43008,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43009,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43010,"CLARK COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43011,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43013,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43014,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43015,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43016,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43017,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43018,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,3
OH,43019,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43021,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43022,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43023,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43025,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43026,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43027,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43028,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43029,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43030,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43031,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43033,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43035,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43036,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,2
OH,43037,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43040,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43041,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43044,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43045,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43046,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,4
OH,43047,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43048,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43050,"KNOX COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43054,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43055,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,3
OH,43056,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,2
OH,43058,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43060,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43061,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43062,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,4
OH,43064,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43065,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,2
OH,43066,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43067,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43068,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,5
OH,43069,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43070,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43071,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,2
OH,43072,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,2
OH,43073,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,3
OH,43074,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43076,"PERRY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43077,"UNION COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43078,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43080,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,4
OH,43081,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43082,"DELAWARE COUNTY",0.057500,0.070000,0.012500,0,0,2
OH,43083,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43084,"CHAMPAIGN COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43085,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,6
OH,43086,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43093,"LICKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43101,"ROSS COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43102,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43103,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43105,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,4
OH,43106,"FAYETTE COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43107,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,2
OH,43109,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43110,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43111,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43112,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43113,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43115,"ROSS COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43116,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43117,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43119,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43123,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43125,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43126,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43127,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43128,"FAYETTE COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43130,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43135,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43136,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43137,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43138,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43140,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,2
OH,43142,"FAYETTE COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43143,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43144,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43145,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43146,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43147,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,4
OH,43148,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43149,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43150,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,2
OH,43151,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43152,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,2
OH,43153,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43154,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43155,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43156,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43157,"FAIRFIELD COUNTY",0.057500,0.067500,0.010000,0,0,1
OH,43158,"HOCKING COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43160,"FAYETTE COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43162,"MADISON COUNTY",0.057500,0.070000,0.012500,0,0,1
OH,43164,"PICKAWAY COUNTY",0.057500,0.072500,0.015000,0,0,1
OH,43194,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43195,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,1
OH,43201,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43202,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43203,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43204,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,4
OH,43205,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43206,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43207,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43209,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43210,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43211,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43212,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,6
OH,43213,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43214,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43215,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43216,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43217,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43218,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43219,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43220,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43221,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43222,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43223,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43224,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43226,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43227,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43228,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43229,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43230,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,3
OH,43231,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43232,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43234,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43235,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43236,"FRANKLIN COUNTY",0.057500,0.075000,0.012500,0,0.005000,2
OH,43240,"DELAWARE COUNTY / COTA",0.057500,0.075000,0.012500,0.000000,0.005000,2
