State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OK,73001,"CADDO COUNTY",0.045000,0.060000,0.015000,0,0,1
OK,73002,"GRADY COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73003,EDMOND,0.045000,0.082500,0,0.037500,0,1
OK,73004,"AMBER TOWN",0.045000,0.092500,0.007500,0.040000,0,1
OK,73005,ANADARKO,0.045000,0.095000,0.015000,0.035000,0,2
OK,73006,"APACHE TOWN",0.045000,0.095000,0.015000,0.035000,0,1
OK,73007,EDMOND,0.045000,0.082500,0,0.037500,0,1
OK,73008,BETHANY,0.045000,0.085000,0,0.040000,0,1
OK,73009,"BINGER TOWN",0.045000,0.100000,0.015000,0.040000,0,1
OK,73010,"BLANCHARD (MCCLAIN CO)",0.045000,0.090000,0.005000,0.040000,0,2
OK,73011,"GRADY COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73012,"OKLAHOMA CITY (OKLAHOMA CO)",0.045000,0.086250,0,0.041250,0,1
OK,73013,"OKLAHOMA CITY (OKLAHOMA CO)",0.045000,0.086250,0,0.041250,0,1
OK,73014,"CANADIAN COUNTY",0.045000,0.048500,0.003500,0,0,1
OK,73015,"CARNEGIE TOWN",0.045000,0.100000,0.015000,0.040000,0,1
OK,73016,"CASHION (KINGFISHER CO)",0.045000,0.097500,0.012500,0.040000,0,1
OK,73017,"GRADY COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73018,CHICKASHA,0.045000,0.090000,0.007500,0.037500,0,2
OK,73019,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73020,CHOCTAW,0.045000,0.087500,0,0.042500,0,1
OK,73021,"WASHITA COUNTY",0.045000,0.065000,0.020000,0,0,1
OK,73022,"EL RENO",0.045000,0.088500,0.003500,0.040000,0,1
OK,73023,CHICKASHA,0.045000,0.090000,0.007500,0.037500,0,1
OK,73024,"CORN TOWN",0.045000,0.085000,0.020000,0.020000,0,1
OK,73025,"LOGAN COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73026,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73027,"PAYNE COUNTY",0.045000,0.053130,0.008130,0,0,1
OK,73028,"LOGAN COUNTY",0.045000,0.052500,0.007500,0,0,2
OK,73029,"CADDO COUNTY",0.045000,0.060000,0.015000,0,0,1
OK,73030,"DAVIS (MURRAY CO)",0.045000,0.095000,0.020000,0.030000,0,1
OK,73031,"DIBBLE TOWN",0.045000,0.100000,0.005000,0.050000,0,1
OK,73032,"DOUGHERTY TOWN",0.045000,0.085000,0.020000,0.020000,0,1
OK,73033,"EAKLY TOWN",0.045000,0.090000,0.015000,0.030000,0,1
OK,73034,EDMOND,0.045000,0.082500,0,0.037500,0,1
OK,73036,"EL RENO",0.045000,0.088500,0.003500,0.040000,0,1
OK,73038,"FORT COBB TOWN",0.045000,0.100000,0.015000,0.040000,0,1
OK,73039,"DAVIS (MURRAY CO)",0.045000,0.095000,0.020000,0.030000,0,1
OK,73040,"GEARY (BLAINE CO)",0.045000,0.088750,0.008750,0.035000,0,1
OK,73041,"GOTEBO TOWN",0.045000,0.090000,0.005000,0.040000,0,1
OK,73042,"GRACEMONT TOWN",0.045000,0.100000,0.015000,0.040000,0,1
OK,73043,"GREENFIELD TOWN",0.045000,0.083750,0.008750,0.030000,0,1
OK,73044,"LOGAN COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73045,HARRAH,0.045000,0.085000,0,0.040000,0,1
OK,73047,"HINTON TOWN",0.045000,0.090000,0.015000,0.030000,0,1
OK,73048,"HYDRO (CADDO CO)",0.045000,0.100000,0.015000,0.040000,0,1
OK,73049,"OKLAHOMA CITY (OKLAHOMA CO)",0.045000,0.086250,0,0.041250,0,1
OK,73050,"LANGSTON TOWN",0.045000,0.092500,0.007500,0.040000,0,1
OK,73051,"CLEVELAND COUNTY",0.045000,0.047500,0.002500,0,0,2
OK,73052,LINDSAY,0.045000,0.092500,0.007500,0.040000,0,1
OK,73053,"CADDO COUNTY",0.045000,0.060000,0.015000,0,0,1
OK,73054,"OKLAHOMA STATE",0.045000,0.045000,0,0,0,1
OK,73055,MARLOW,0.045000,0.087000,0.007000,0.035000,0,3
OK,73056,"MARSHALL TOWN",0.045000,0.092500,0.007500,0.040000,0,1
OK,73057,"GARVIN COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73058,"LOGAN COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73059,MINCO,0.045000,0.092500,0.007500,0.040000,0,1
OK,73061,"NOBLE COUNTY",0.045000,0.060000,0.015000,0,0,1
OK,73062,"MOUNTAIN VIEW TOWN",0.045000,0.090000,0.005000,0.040000,0,1
OK,73063,"MULHALL TOWN",0.045000,0.082500,0.007500,0.030000,0,1
OK,73064,MUSTANG,0.045000,0.088500,0.003500,0.040000,0,1
OK,73065,NEWCASTLE,0.045000,0.090000,0.005000,0.040000,0,1
OK,73066,"NICOMA PARK",0.045000,0.095000,0,0.050000,0,1
OK,73067,"NINNEKAH TOWN",0.045000,0.082500,0.007500,0.030000,0,1
OK,73068,NOBLE,0.045000,0.087500,0.002500,0.040000,0,2
OK,73069,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73070,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73071,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73072,NORMAN,0.045000,0.087500,0.002500,0.040000,0,1
OK,73073,"LOGAN COUNTY",0.045000,0.052500,0.007500,0,0,1
OK,73074,"PAOLI TOWN",0.045000,0.082500,0.007500,0.030000,0,1
OK,73075,"PAULS VALLEY",0.045000,0.097500,0.007500,0.045000,0,1
OK,73077,PERRY,0.045000,0.092500,0.015000,0.032500,0,1
OK,73078,"PIEDMONT (CANADIAN CO)",0.045000,0.098500,0.003500,0.050000,0,1
OK,73079,"POCASSET TOWN",0.045000,0.067500,0.007500,0.015000,0,1
OK,73080,"PURCELL (MCCLAIN CO)",0.045000,0.100000,0.005000,0.050000,0,1
