State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OR,97001,"CENTRAL DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97002,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97003,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97004,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97005,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97006,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97007,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97008,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97009,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97010,"MT HOOD GORGE DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97011,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97013,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97014,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97015,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97016,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97017,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97018,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97019,"MT HOOD GORGE DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97020,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97021,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97022,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97023,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97024,"PORTLAND METRO DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97026,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97027,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97028,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97029,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97030,"PORTLAND METRO DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97031,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97032,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97033,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97034,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97035,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97036,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97037,"CENTRAL DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97038,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97039,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97040,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97041,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97042,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97044,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97045,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97048,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97049,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97050,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97051,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97053,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97054,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97055,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97056,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97057,"CENTRAL DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97058,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97060,"MT HOOD GORGE DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97062,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97063,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97064,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97065,"NORTH EASTERN DISTRICT",0.000000,0.000000,0,0,0.000000,0
OR,97067,"MT HOOD GORGE DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97068,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97070,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97071,"WILLAMETTE VALLEY DIST",0.000000,0.000000,0,0,0.000000,0
OR,97075,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97076,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97077,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97078,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97079,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97080,"PORTLAND METRO DISTRICT",0.000000,0.000000,0.000000,0,0.000000,0
OR,97086,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
OR,97089,"PORTLAND METRO DISTRICT SP",0.000000,0.000000,0,0,0.000000,0
