State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PR,00601,"ADJUNTAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00602,"AGUADA CO",0.105000,0.115000,0.010000,0,0,1
PR,00603,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00604,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00605,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00606,"MARICAO CO",0.105000,0.115000,0.010000,0,0,1
PR,00610,"ANASCO CO",0.105000,0.115000,0.010000,0,0,1
PR,00611,"UTUADO CO",0.105000,0.115000,0.010000,0,0,1
PR,00612,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00613,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00614,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00616,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00617,"BARCELONETA CO",0.105000,0.115000,0.010000,0,0,1
PR,00622,"CABO ROJO CO",0.105000,0.115000,0.010000,0,0,1
PR,00623,"CABO ROJO CO",0.105000,0.115000,0.010000,0,0,1
PR,00624,"PENUELAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00627,"CAMUY CO",0.105000,0.115000,0.010000,0,0,1
PR,00631,"ADJUNTAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00636,"MAYAGUEZ CO",0.105000,0.115000,0.010000,0,0,1
PR,00637,"SABANA GRANDE CO",0.105000,0.115000,0.010000,0,0,1
PR,00638,"CIALES CO",0.105000,0.115000,0.010000,0,0,1
PR,00641,"UTUADO CO",0.105000,0.115000,0.010000,0,0,1
PR,00646,"DORADO CO",0.105000,0.115000,0.010000,0,0,1
PR,00647,"GUANICA CO",0.105000,0.115000,0.010000,0,0,1
PR,00650,"FLORIDA CO",0.105000,0.115000,0.010000,0,0,1
PR,00652,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00653,"GUANICA CO",0.105000,0.115000,0.010000,0,0,1
PR,00656,"GUAYANILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00659,"HATILLO CO",0.105000,0.115000,0.010000,0,0,1
PR,00660,"HORMIGUEROS CO",0.105000,0.115000,0.010000,0,0,1
PR,00662,"ISABELA CO",0.105000,0.115000,0.010000,0,0,1
PR,00664,"JAYUYA CO",0.105000,0.115000,0.010000,0,0,1
PR,00667,"LAJAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00669,"LARES CO",0.105000,0.115000,0.010000,0,0,1
PR,00670,"LAS MARIAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00674,"MANATI CO",0.105000,0.115000,0.010000,0,0,1
PR,00676,"MOCA CO",0.105000,0.115000,0.010000,0,0,1
PR,00677,"RINCON CO",0.105000,0.115000,0.010000,0,0,1
PR,00678,"QUEBRADILLAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00680,"MAYAGUEZ CO",0.105000,0.115000,0.010000,0,0,1
PR,00681,"MAYAGUEZ CO",0.105000,0.115000,0.010000,0,0,1
PR,00682,"MAYAGUEZ CO",0.105000,0.115000,0.010000,0,0,1
PR,00683,"SAN GERMAN CO",0.105000,0.115000,0.010000,0,0,1
PR,00685,"SAN SEBASTIAN CO",0.105000,0.115000,0.010000,0,0,1
PR,00687,"MOROVIS CO",0.105000,0.115000,0.010000,0,0,1
PR,00688,"ARECIBO CO",0.105000,0.115000,0.010000,0,0,1
PR,00690,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00692,"VEGA ALTA CO",0.105000,0.115000,0.010000,0,0,1
PR,00693,"VEGA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00694,"VEGA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00698,"YAUCO CO",0.105000,0.115000,0.010000,0,0,1
PR,00703,"AGUAS BUENAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00704,"SALINAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00705,"AIBONITO CO",0.105000,0.115000,0.010000,0,0,1
PR,00707,"MAUNABO CO",0.105000,0.115000,0.010000,0,0,1
PR,00714,"ARROYO CO",0.105000,0.115000,0.010000,0,0,1
PR,00715,"PONCE CO",0.105000,0.115000,0.010000,0,0,1
PR,00716,"PONCE CO",0.105000,0.115000,0.010000,0,0,1
