State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29001,"UNINCORP CLARENDON CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29002,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29003,"BAMBERG COUNTY",0.060000,0.080000,0.010000,0,0.010000,2
SC,29006,BATESBURG-LEESVILLE,0.060000,0.070000,0.000000,0.000000,0.010000,7
SC,29009,"KERSHAW COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29010,"LEE COUNTY",0.060000,0.080000,0.010000,0,0.010000,9
SC,29014,"UNINCORP CHESTER CO",0.060000,0.080000,0.010000,0,0.010000,5
SC,29015,"FAIRFIELD COUNTY",0.060000,0.070000,0.010000,0,0,1
SC,29016,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29018,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
SC,29020,"KERSHAW COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29021,CAMDEN,0.060000,0.080000,0.000000,0.010000,0.010000,1
SC,29030,"CALHOUN COUNTY",0.060000,0.070000,0.010000,0,0,3
SC,29031,"UNION COUNTY",0.060000,0.070000,0.010000,0,0,3
SC,29032,"KERSHAW COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29033,CAYCE,0.060000,0.070000,0.000000,0.000000,0.010000,2
SC,29036,"LEXINGTON COUNTY",0.060000,0.070000,0.000000,0,0.010000,2
SC,29037,"NEWBERRY COUNTY",0.060000,0.070000,0.000000,0,0.010000,2
SC,29038,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
SC,29039,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
SC,29040,"SUMTER COUNTY",0.060000,0.080000,0.010000,0,0.010000,3
SC,29041,"UNINCORP CLARENDON CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29042,"BAMBERG COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29044,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,3
SC,29045,"KERSHAW COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29046,"LEE COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29047,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,2
SC,29048,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,2
SC,29051,"UNINCORP CLARENDON CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29052,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,2
SC,29053,"LEXINGTON COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
SC,29054,"LEXINGTON COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
SC,29055,"GREAT FALLS",0.060000,0.080000,0.000000,0.010000,0.010000,2
SC,29056,"WILLIAMSBURG COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29058,"LANCASTER COUNTY",0.060000,0.080000,0.010000,0,0.010000,3
SC,29059,"ORANGEBURG COUNTY",0.060000,0.070000,0.000000,0,0.010000,2
SC,29061,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,2
SC,29062,"SUMTER COUNTY",0.060000,0.080000,0.010000,0,0.010000,1
SC,29063,"UNINCORP RICHLAND CO",0.060000,0.080000,0.010000,0,0.010000,1
SC,29065,"FAIRFIELD COUNTY",0.060000,0.070000,0.010000,0,0,2
