State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SD,57001,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57002,AURORA,0.045000,0.055000,0,0.010000,0,1
SD,57003,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57004,BERESFORD,0.045000,0.065000,0,0.020000,0,3
SD,57005,BRANDON,0.045000,0.065000,0,0.020000,0,3
SD,57006,BROOKINGS,0.045000,0.065000,0,0.020000,0,2
SD,57007,BROOKINGS,0.045000,0.065000,0,0.020000,0,1
SD,57010,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57012,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57013,CANTON,0.045000,0.065000,0,0.020000,0,1
SD,57014,CENTERVILLE,0.045000,0.065000,0,0.020000,0,2
SD,57015,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57016,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57017,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57018,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57020,CROOKS,0.045000,0.065000,0,0.020000,0,2
SD,57021,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57022,"DELL RAPIDS",0.045000,0.065000,0,0.020000,0,1
SD,57024,EGAN,0.045000,0.065000,0,0.020000,0,1
SD,57025,"ELK POINT",0.045000,0.065000,0,0.020000,0,4
SD,57026,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57027,FAIRVIEW,0.045000,0.065000,0,0.020000,0,1
SD,57028,FLANDREAU,0.045000,0.065000,0,0.020000,0,1
SD,57029,FREEMAN,0.045000,0.065000,0,0.020000,0,1
SD,57030,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57031,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57032,HARRISBURG,0.045000,0.065000,0,0.020000,0,2
SD,57033,HARTFORD,0.045000,0.065000,0,0.020000,0,2
SD,57034,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57035,HUMBOLDT,0.045000,0.065000,0,0.020000,0,2
SD,57036,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57037,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57038,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57039,LENNOX,0.045000,0.065000,0,0.020000,0,2
SD,57040,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57041,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57042,MADISON,0.045000,0.065000,0,0.020000,0,4
SD,57043,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57045,MENNO,0.045000,0.065000,0,0.020000,0,1
SD,57046,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57047,MONROE,0.045000,0.065000,0,0.020000,0,1
SD,57048,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57049,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,3
SD,57050,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57051,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57052,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57053,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57054,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57055,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57057,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57058,SALEM,0.045000,0.065000,0,0.020000,0,2
SD,57059,SCOTLAND,0.045000,0.065000,0,0.020000,0,1
SD,57061,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,2
SD,57062,SPRINGFIELD,0.045000,0.065000,0,0.020000,0,1
SD,57063,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57064,TEA,0.045000,0.065000,0,0.020000,0,1
SD,57065,"SOUTH DAKOTA STATE",0.045000,0.045000,0,0,0,1
SD,57066,TYNDALL,0.045000,0.065000,0,0.020000,0,1
