State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
TN,37010,"ROBERTSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37011,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37012,"DEKALB COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37013,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,2
TN,37014,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,2
TN,37015,"CHEATHAM COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37016,"CANNON COUNTY",0.070000,0.087500,0.017500,0,0,1
TN,37018,"COFFEE COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37019,"MARSHALL COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37020,"BEDFORD COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37022,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,2
TN,37023,"STEWART COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37024,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37025,"HICKMAN COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37026,"CANNON COUNTY",0.070000,0.087500,0.017500,0,0,1
TN,37027,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,3
TN,37028,"STEWART COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37029,"DICKSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37030,"SMITH COUNTY",0.070000,0.097500,0.027500,0,0,4
TN,37031,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37032,"ROBERTSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37033,"HICKMAN COUNTY",0.070000,0.097500,0.027500,0,0,8
TN,37034,"MARSHALL COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37035,"CHEATHAM COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37036,"DICKSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37037,"RUTHERFORD COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37040,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,1
TN,37041,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,1
TN,37042,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,2
TN,37043,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,4
TN,37044,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,1
TN,37046,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,2
TN,37047,"MARSHALL COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37048,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,2
TN,37049,"ROBERTSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37050,"STEWART COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37051,"DICKSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37052,"MONTGOMERY COUNTY",0.070000,0.095000,0.025000,0,0,1
TN,37055,"DICKSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37056,"DICKSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37057,"TROUSDALE COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37058,"STEWART COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37059,"DEKALB COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37060,"RUTHERFORD COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37061,"HOUSTON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37062,FAIRVIEW,0.070000,0.102500,0.027500,0.005000,0,1
TN,37063,"BEDFORD COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37064,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,4
TN,37065,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37066,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37067,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37068,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37069,"WILLIAMSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37070,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37072,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,2
TN,37073,"ROBERTSON COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37074,"TROUSDALE COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37075,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37076,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37077,"SUMNER COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37078,"HUMPHREYS COUNTY",0.070000,0.097500,0.027500,0,0,1
TN,37079,"STEWART COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37080,"DAVIDSON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37082,"CHEATHAM COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37083,"MACON COUNTY",0.070000,0.092500,0.022500,0,0,1
TN,37085,"RUTHERFORD COUNTY",0.070000,0.097500,0.027500,0,0,1
