State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
UT,84001,ALTAMONT,0.047000,0.062000,0.015000,0.000000,0,2
UT,84002,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,1
UT,84003,"AMERICAN FORK",0.047000,0.068500,0.008000,0.011000,0.002500,4
UT,84004,ALPINE,0.047000,0.067500,0.008000,0.010000,0.002500,1
UT,84005,"EAGLE MOUNTAIN",0.047000,0.067500,0.018000,0.000000,0.002500,2
UT,84006,COPPERTON,0.047000,0.068500,0.003500,0.010000,0.008000,3
UT,84007,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,2
UT,84009,"SOUTH JORDAN",0.047000,0.068500,0.013500,0.000000,0.008000,1
UT,84010,BOUNTIFUL,0.047000,0.068500,0.015500,0.000000,0.006000,4
UT,84011,BOUNTIFUL,0.047000,0.068500,0.015500,0.000000,0.006000,1
UT,84013,"EAGLE MOUNTAIN",0.047000,0.067500,0.018000,0.000000,0.002500,3
UT,84014,CENTERVILLE,0.047000,0.068500,0.015500,0.000000,0.006000,1
UT,84015,CLEARFIELD,0.047000,0.068500,0.015500,0.001000,0.005000,6
UT,84016,CLEARFIELD,0.047000,0.068500,0.015500,0.001000,0.005000,1
UT,84017,"SUMMIT COUNTY",0.047000,0.065500,0.013500,0,0.005000,5
UT,84018,"MORGAN COUNTY",0.047000,0.059500,0.012500,0,0,1
UT,84020,DRAPER,0.047000,0.068500,0.013500,0.000000,0.008000,1
UT,84021,"DUCHESNE (CITY)",0.047000,0.063000,0.015000,0.001000,0,3
UT,84022,"TOOELE COUNTY",0.047000,0.062000,0.015000,0,0,2
UT,84023,"DAGGETT COUNTY",0.047000,0.069500,0.022500,0,0,1
UT,84024,"SUMMIT COUNTY",0.047000,0.065500,0.013500,0,0.005000,2
UT,84025,FARMINGTON,0.047000,0.068500,0.015500,0.001000,0.005000,1
UT,84026,"UINTAH COUNTY",0.047000,0.060500,0.013500,0,0,4
UT,84027,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,1
UT,84028,"GARDEN CITY",0.047000,0.078000,0.005000,0.010000,0.016000,3
UT,84029,GRANTSVILLE,0.047000,0.065000,0.002500,0.010000,0.005500,4
UT,84031,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,2
UT,84032,HEBER,0.047000,0.062500,0.000000,0.010000,0.005500,8
UT,84033,HENEFER,0.047000,0.065500,0.013500,0.000000,0.005000,1
UT,84035,"UINTAH COUNTY",0.047000,0.060500,0.013500,0,0,1
UT,84036,"SUMMIT COUNTY",0.047000,0.065500,0.013500,0,0.005000,8
UT,84037,KAYSVILLE,0.047000,0.067500,0.015500,0.000000,0.005000,3
UT,84038,LAKETOWN,0.047000,0.062000,0.015000,0.000000,0,3
UT,84039,"UINTAH COUNTY",0.047000,0.060500,0.013500,0,0,1
UT,84040,LAYTON,0.047000,0.068500,0.015500,0.001000,0.005000,2
UT,84041,LAYTON,0.047000,0.068500,0.015500,0.001000,0.005000,2
UT,84042,LINDON,0.047000,0.068500,0.008000,0.011000,0.002500,1
UT,84043,LEHI,0.047000,0.067500,0.008000,0.010000,0.002500,5
UT,84044,MAGNA,0.047000,0.068500,0.003500,0.010000,0.008000,2
UT,84045,"SARATOGA SPRINGS",0.047000,0.067500,0.018000,0.000000,0.002500,2
UT,84046,"DAGGETT COUNTY",0.047000,0.069500,0.022500,0,0,1
UT,84047,MIDVALE,0.047000,0.068500,0.013500,0.000000,0.008000,4
UT,84049,MIDWAY,0.047000,0.073500,0.000000,0.010000,0.016500,1
UT,84050,"MORGAN COUNTY",0.047000,0.059500,0.012500,0,0,8
UT,84051,"DUCHESNE (CITY)",0.047000,0.063000,0.015000,0.001000,0,1
UT,84052,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,1
UT,84053,"DUCHESNE CO",0.047000,0.062000,0.015000,0,0,1
UT,84054,"NORTH SALT LAKE",0.047000,0.068500,0.015500,0.000000,0.006000,1
UT,84055,OAKLEY,0.047000,0.065500,0.013500,0.000000,0.005000,1
UT,84056,CLEARFIELD,0.047000,0.068500,0.015500,0.001000,0.005000,1
UT,84057,OREM,0.047000,0.068500,0.008000,0.011000,0.002500,5
UT,84058,OREM,0.047000,0.068500,0.008000,0.011000,0.002500,6
UT,84059,OREM,0.047000,0.068500,0.008000,0.011000,0.002500,1
UT,84060,"PARK CITY",0.047000,0.084500,0.001000,0.010000,0.026500,2
UT,84061,"SUMMIT COUNTY",0.047000,0.065500,0.013500,0,0.005000,2
UT,84062,"PLEASANT GROVE",0.047000,0.067500,0.008000,0.010000,0.002500,3
UT,84063,"UINTAH COUNTY",0.047000,0.060500,0.013500,0,0,1
UT,84064,RANDOLPH,0.047000,0.062000,0.015000,0.000000,0,1
UT,84065,RIVERTON,0.047000,0.068500,0.013500,0.000000,0.008000,5
UT,84066,ROOSEVELT,0.047000,0.066000,0.002500,0.011000,0.005500,5
UT,84067,ROY,0.047000,0.071000,0.016500,0.000000,0.007500,1
UT,84068,"PARK CITY",0.047000,0.084500,0.001000,0.010000,0.026500,1
UT,84069,"RUSH VALLEY",0.047000,0.062000,0.015000,0.000000,0,2
UT,84070,SANDY,0.047000,0.068500,0.013500,0.000000,0.008000,4
