State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VA,20101,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20102,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20103,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20104,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20105,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,2
VA,20106,"CULPEPER COUNTY",0.043000,0.053000,0.010000,0,0,2
VA,20108,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20109,"PRINCE WILLIAM COUNTY",0.043000,0.060000,0.010000,0,0.007000,2
VA,20110,"MANASSAS CITY",0.043000,0.060000,0,0.010000,0.007000,1
VA,20111,"PRINCE WILLIAM COUNTY",0.043000,0.060000,0.010000,0,0.007000,2
VA,20112,"PRINCE WILLIAM COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20113,"PRINCE WILLIAM COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20115,"FAUQUIER COUNTY",0.043000,0.053000,0.010000,0,0,1
VA,20116,"FAUQUIER COUNTY",0.043000,0.053000,0.010000,0,0,1
VA,20117,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20118,"LOUDOUN CO SP",0.043000,0.050000,0,0.000000,0.007000,1
VA,20119,"FAUQUIER COUNTY",0.043000,0.053000,0.010000,0,0,1
VA,20120,"FAIRFAX COUNTY",0.043000,0.060000,0.010000,0,0.007000,2
VA,20121,"FAIRFAX COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20122,"FAIRFAX COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20124,"FAIRFAX COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20128,"FAUQUIER COUNTY",0.043000,0.053000,0.010000,0,0,1
VA,20129,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
VA,20130,"CLARKE COUNTY",0.043000,0.053000,0.010000,0,0,1
VA,20131,"LOUDOUN COUNTY",0.043000,0.060000,0.010000,0,0.007000,1
