State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VT,05001,HARTFORD,0.060000,0.060000,0,0.000000,0,3
VT,05009,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05030,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05031,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05032,"VERMONT STATE",0.060000,0.060000,0,0,0,4
VT,05033,"VERMONT STATE",0.060000,0.060000,0,0,0,3
VT,05034,"VERMONT STATE",0.060000,0.060000,0,0,0,2
VT,05035,"VERMONT STATE",0.060000,0.060000,0,0,0,3
VT,05036,"VERMONT STATE",0.060000,0.060000,0,0,0,2
VT,05037,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05038,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05039,"VERMONT STATE",0.060000,0.060000,0,0,0,6
VT,05040,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05041,"VERMONT STATE",0.060000,0.060000,0,0,0,3
VT,05042,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05043,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05045,"VERMONT STATE",0.060000,0.060000,0,0,0,2
VT,05046,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05047,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05048,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05049,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05050,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05051,"VERMONT STATE",0.060000,0.060000,0,0,0,2
VT,05052,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05053,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05054,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05055,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05056,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05058,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05059,HARTFORD,0.060000,0.060000,0,0.000000,0,1
VT,05060,"VERMONT STATE",0.060000,0.060000,0,0,0,4
VT,05061,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05062,"VERMONT STATE",0.060000,0.060000,0,0,0,4
VT,05065,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05067,"VERMONT STATE",0.060000,0.060000,0,0,0,1
VT,05068,"VERMONT STATE",0.060000,0.060000,0,0,0,3
VT,05069,"VERMONT STATE",0.060000,0.060000,0,0,0,1
