State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WA,98001,"KING COUNTY",0.065000,0.100000,0.000000,0,0.035000,3
WA,98002,"AUBURN (KING CO)",0.065000,0.100000,0.000000,0.035000,0,1
WA,98003,"FEDERAL WAY",0.065000,0.100000,0.000000,0.035000,0,2
WA,98004,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,6
WA,98005,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,1
WA,98006,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,3
WA,98007,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,2
WA,98008,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,1
WA,98009,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,1
WA,98010,"BLACK DIAMOND",0.065000,0.086000,0.000000,0.021000,0,2
WA,98011,"BOTHELL (KING CO)",0.065000,0.100000,0.000000,0.035000,0,4
WA,98012,"MILL CREEK",0.065000,0.104000,0.000000,0.039000,0,3
WA,98013,"KING COUNTY NON-RTA",0.065000,0.086000,0.021000,0,0,1
WA,98014,"KING COUNTY NON-RTA",0.065000,0.086000,0.021000,0,0,2
WA,98015,BELLEVUE,0.065000,0.100000,0.000000,0.035000,0,1
WA,98019,"KING COUNTY NON-RTA",0.065000,0.086000,0.021000,0,0,1
WA,98020,EDMONDS,0.065000,0.103000,0.000000,0.038000,0,2
WA,98021,"BOTHELL (SNOHOMISH CO)",0.065000,0.103000,0.000000,0.038000,0,3
WA,98022,ENUMCLAW,0.065000,0.087000,0.000000,0.022000,0,7
WA,98023,"FEDERAL WAY",0.065000,0.100000,0.000000,0.035000,0,2
WA,98024,"KING COUNTY NON-RTA",0.065000,0.086000,0.021000,0,0,3
WA,98025,"KING COUNTY NON-RTA",0.065000,0.086000,0.021000,0,0,1
WA,98026,EDMONDS,0.065000,0.103000,0.000000,0.038000,0,1
WA,98027,ISSAQUAH,0.065000,0.100000,0.000000,0.035000,0,3
WA,98028,KENMORE,0.065000,0.100000,0.000000,0.035000,0,3
WA,98029,ISSAQUAH,0.065000,0.100000,0.000000,0.035000,0,1
WA,98030,KENT,0.065000,0.100000,0.000000,0.035000,0,1
WA,98031,KENT,0.065000,0.100000,0.000000,0.035000,0,1
WA,98032,KENT,0.065000,0.100000,0.000000,0.035000,0,2
WA,98033,KIRKLAND,0.065000,0.100000,0.000000,0.035000,0,5
WA,98034,KIRKLAND,0.065000,0.100000,0.000000,0.035000,0,4
WA,98035,KENT,0.065000,0.100000,0.000000,0.035000,0,1
WA,98036,LYNNWOOD,0.065000,0.104000,0.000000,0.039000,0,2
WA,98037,LYNNWOOD,0.065000,0.104000,0.000000,0.039000,0,1
WA,98038,"MAPLE VALLEY",0.065000,0.086000,0.000000,0.021000,0,3
WA,98039,MEDINA,0.065000,0.100000,0.000000,0.035000,0,1
