State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WI,53001,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53002,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53003,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53004,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53005,"WAUKESHA COUNTY",0.050000,0.051000,0,0,0.001000,1
WI,53006,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,2
WI,53007,"WAUKESHA COUNTY",0.050000,0.051000,0,0,0.001000,1
WI,53008,"WAUKESHA COUNTY",0.050000,0.051000,0,0,0.001000,1
WI,53010,"FOND DU LAC COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53011,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53012,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53013,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53014,CALUMET,0.050000,0.055000,0.005000,0,0,1
WI,53015,"WISCONSIN STATE",0.050000,0.050000,0,0,0,1
WI,53016,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53017,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53018,"WAUKESHA COUNTY",0.050000,0.051000,0,0,0.001000,1
WI,53019,"FOND DU LAC COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53020,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53021,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,2
WI,53022,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,2
WI,53023,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53024,"OZAUKEE COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53026,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53027,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53029,"WAUKESHA COUNTY",0.050000,0.051000,0,0,0.001000,2
WI,53031,"SHEBOYGAN COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53032,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53033,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
WI,53034,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53035,"DODGE COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53036,"JEFFERSON COUNTY",0.050000,0.055000,0.005000,0,0,1
WI,53037,"WASHINGTON COUNTY",0.050000,0.056000,0.005000,0,0.001000,1
